Date,Close
3-6-2021,56.796001
4-6-2021,57.474998
7-6-2021,59.985001
8-6-2021,60.487
9-6-2021,58.529999
10-6-2021,59.027
11-6-2021,59.980999
14-6-2021,60.155998
15-6-2021,58.576
16-6-2021,59.02
17-6-2021,62.139999
18-6-2021,60.880001
21-6-2021,61.259998
22-6-2021,64.5
23-6-2021,65.389999
24-6-2021,75.879997
25-6-2021,76.019997
28-6-2021,79.889999
29-6-2021,79.970001
30-6-2021,77.360001
1-7-2021,76.68
2-7-2021,76.620003
6-7-2021,76.559998
7-7-2021,77.639999
8-7-2021,76.110001
9-7-2021,77.949997
12-7-2021,77.849998
13-7-2021,76.5
14-7-2021,73.629997
15-7-2021,71.989998
16-7-2021,70.620003
19-7-2021,70.940002
20-7-2021,73
21-7-2021,74.150002
22-7-2021,74.110001
23-7-2021,81.150002
26-7-2021,81.449997
27-7-2021,82.68
28-7-2021,85.559998
29-7-2021,84.099998
30-7-2021,81.910004
2-8-2021,83.190002
3-8-2021,83.160004
4-8-2021,86.440002
5-8-2021,83.379997
6-8-2021,84.040001
9-8-2021,81.32
10-8-2021,87.529999
11-8-2021,82.400002
12-8-2021,85.610001
13-8-2021,80.910004
